信号日,代码,名称,板块,买入价,卖出日,卖出价,收益%,持有交易日,卖出方式,当时周期
2019-07-05,002626,金达威,C14食品制造业,12.01561146,2019-07-08,12.49,3.83,1,没涨停→尾盘卖,平淡期
2019-07-08,002037,保利联合,C26化学原料和化学制品制造业,8.4040044,2019-07-09,8.66,2.85,1,没涨停→尾盘卖,恐慌期
2019-07-09,600888,新疆众和,C39计算机、通信和其他电子设备制造业,4.035798,2019-07-10,3.97,-1.69,1,没涨停→尾盘卖,平淡期
2019-07-11,600172,黄河旋风,C30非金属矿物制品业,3.51,2019-07-12,3.46,-1.57,1,没涨停→尾盘卖,平淡期
2019-07-11,600293,三峡新材,C30非金属矿物制品业,4.39,2019-07-12,4.3,-2.2,1,没涨停→尾盘卖,平淡期
2019-07-11,603612,索通发展,C30非金属矿物制品业,10.05767926,2019-07-12,10.05,-0.33,1,再涨停→次日早盘卖,平淡期
2019-07-12,002109,ST兴化,C26化学原料和化学制品制造业,3.85508958,2019-07-15,3.83,-0.88,1,没涨停→尾盘卖,平淡期
2019-07-15,002453,华软科技,C26化学原料和化学制品制造业,6.23,2019-07-16,6.27,0.49,1,没涨停→尾盘卖,平淡期
2019-07-16,000790,华神科技,C27医药制造业,4.85611275,2019-07-17,4.55,-6.46,1,没涨停→尾盘卖,恐慌期
2019-07-16,002386,天原股份,C26化学原料和化学制品制造业,4.97849607,2019-07-17,4.83,-3.04,1,没涨停→尾盘卖,恐慌期
2019-07-17,002068,黑猫股份,C26化学原料和化学制品制造业,5.51183204,2019-07-18,5.25,-4.87,1,没涨停→尾盘卖,平淡期
2019-07-17,002426,胜利精密,C39计算机、通信和其他电子设备制造业,2.81,2019-07-18,2.86,1.63,1,没涨停→尾盘卖,平淡期
2019-07-19,002362,汉王科技,C39计算机、通信和其他电子设备制造业,16.58,2019-07-22,16.01,-3.59,1,没涨停→尾盘卖,平淡期
2019-07-22,600722,金牛化工,C26化学原料和化学制品制造业,6.49,2019-07-23,6.61,1.7,1,没涨停→尾盘卖,恐慌期
2019-07-22,603227,雪峰科技,C26化学原料和化学制品制造业,3.69581045,2019-07-24,4.08,10.11,2,再涨停→次日早盘卖,恐慌期
2019-07-24,002384,东山精密,C39计算机、通信和其他电子设备制造业,15.16008953,2019-07-25,15.38,1.31,1,没涨停→尾盘卖,平淡期
2019-07-30,600695,退市绿庭,,6.28,2019-07-31,5.99,-4.77,1,没涨停→尾盘卖,平淡期
2019-08-07,000603,盛达资源,B09有色金属矿采选业,12.94373051,2019-08-08,13.39,3.32,1,没涨停→尾盘卖,平淡期
2019-08-07,600105,永鼎股份,C38电气机械和器材制造业,3.89558502,2019-08-08,4.05,3.83,1,没涨停→尾盘卖,平淡期
2019-08-07,600711,盛屯矿业,B09有色金属矿采选业,5.0706783,2019-08-08,5.03,-0.9,1,没涨停→尾盘卖,平淡期
2019-08-09,002815,崇达技术,C39计算机、通信和其他电子设备制造业,15.38612468,2019-08-12,16.21,5.2,1,没涨停→尾盘卖,平淡期
2019-08-09,603920,世运电路,C39计算机、通信和其他电子设备制造业,9.19144829,2019-08-13,11.12,20.85,2,再涨停→次日早盘卖,平淡期
2019-08-12,002241,歌尔股份,C39计算机、通信和其他电子设备制造业,11.0362112,2019-08-13,11.19,1.23,1,没涨停→尾盘卖,平淡期
2019-08-12,002751,易尚退,,19.5724611,2019-08-14,23.41,19.44,2,再涨停→次日早盘卖,平淡期
2019-08-13,600781,退市辅仁,,6.29,2019-08-14,6.18,-1.9,1,没涨停→尾盘卖,恐慌期
2019-08-15,002317,众生药业,C27医药制造业,9.76520148,2019-08-16,9.81,0.31,1,没涨停→尾盘卖,平淡期
2019-08-15,600211,西藏药业,C27医药制造业,16.81726914,2019-08-16,17.1,1.54,1,没涨停→尾盘卖,平淡期
2019-08-15,002194,武汉凡谷,C39计算机、通信和其他电子设备制造业,14.22006684,2019-08-19,16.98,19.27,2,再涨停→次日早盘卖,平淡期
2019-08-16,002180,奔图科技,C39计算机、通信和其他电子设备制造业,23.67626568,2019-08-19,24.04,1.39,1,没涨停→尾盘卖,平淡期
2019-08-19,000019,深粮控股,F51批发业,5.43713136,2019-08-20,5.44,-0.15,1,没涨停→尾盘卖,主线期
2019-08-19,000020,深华发A,C39计算机、通信和其他电子设备制造业,11.37,2019-08-20,11.58,1.7,1,没涨停→尾盘卖,主线期
2019-08-19,000027,深圳能源,D44电力、热力生产和供应业,4.48656704,2019-08-20,4.37,-2.71,1,没涨停→尾盘卖,主线期
2019-08-20,600664,哈药股份,C27医药制造业,4.37,2019-08-21,4.39,0.31,1,没涨停→尾盘卖,平淡期
2019-08-21,002218,拓日新能,C38电气机械和器材制造业,3.15245775,2019-08-22,3.17,0.47,1,没涨停→尾盘卖,恐慌期
2019-08-21,002459,晶澳科技,C38电气机械和器材制造业,5.6144629,2019-08-22,5.63,0.11,1,没涨停→尾盘卖,恐慌期
2019-08-22,000610,*ST西旅,L72商务服务业,9.67931193,2019-08-23,9.67,-0.25,1,没涨停→尾盘卖,平淡期
2019-08-22,002227,*ST特迅,C38电气机械和器材制造业,12.01225575,2019-08-23,11.71,-2.64,1,没涨停→尾盘卖,平淡期
2019-08-22,002502,ST鼎龙,,3.29,2019-08-23,3.12,-5.32,1,没涨停→尾盘卖,平淡期
2019-08-23,002118,*ST紫鑫,,6.37,2019-08-26,6.69,4.87,1,没涨停→尾盘卖,平淡期
2019-08-23,002505,鹏都农牧,,1.74,2019-08-26,1.91,9.62,1,没涨停→尾盘卖,平淡期
2019-08-26,002925,盈趣科技,C39计算机、通信和其他电子设备制造业,21.00898332,2019-08-27,21.8,3.64,1,没涨停→尾盘卖,恐慌期
2019-08-26,600081,东风科技,C36汽车制造业,9.812385,2019-08-28,11.3,15.01,2,再涨停→次日早盘卖,恐慌期
2019-08-26,601777,千里科技,C36汽车制造业,3.58,2019-08-28,4.33,20.8,2,再涨停→次日早盘卖,恐慌期
2019-08-27,002019,亿帆医药,C27医药制造业,12.7073618,2019-08-28,12.34,-3.04,1,没涨停→尾盘卖,妖股期
2019-08-28,600157,永泰能源,D44电力、热力生产和供应业,1.60974702,2019-08-29,1.6,-0.77,1,没涨停→尾盘卖,妖股期
2019-08-28,600280,中央商场,F52零售业,3.51,2019-08-29,3.4,-3.28,1,没涨停→尾盘卖,妖股期
